"url","fetch_time","content_mime_type","warc_filename","warc_record_offset","warc_record_length"
"http://novie-ananda-riizky-greatsale.bl.ee/colorful-hot-air-balloons-airborne-amazon-kindle-fire-hd-7-2012-version-only-september-14-2012-flip-case-stand-magnetic-cover-open-ports-customized-made-to-order-support-ready-premium-deluxe-pu/","2018-03-18 02:23:38.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257645413.2/warc/CC-MAIN-20180318013134-20180318033134-00298.warc.gz","206700440","9617"
"http://novie-ananda-riizky-greatsale.bl.ee/durable-hot-pink-amazon-kindle-fire-7-inch-tablet-neoprene-sleeve-vangoddy-livelaughlove-wristband/","2018-03-20 15:43:04.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647498.68/warc/CC-MAIN-20180320150533-20180320170533-00750.warc.gz","222784566","9002"
"http://novie-ananda-riizky-greatsale.bl.ee/melting-red-hot-lava-nature-scenery-amazon-kindle-fire-hd-7-2012-version-only-september-14-2012-flip-case-stand-magnetic-cover-open-ports-customized-made-to-order-support-ready-premium-deluxe-pu-le/","2018-03-20 15:50:26.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647498.68/warc/CC-MAIN-20180320150533-20180320170533-00646.warc.gz","217914054","9689"
"http://novie-ananda-riizky-greatsale.bl.ee/padded-scratch-water-resistant-hot-pink-neoprene-sleeve-for-new-amazon-kindle-fire-7-inch-tablet-vangoddy-livelaughlove-wristband/","2018-03-18 02:22:30.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257645413.2/warc/CC-MAIN-20180318013134-20180318033134-00085.warc.gz","214663170","8965"
"http://novie-ananda-riizky-greatsale.bl.ee/review-love-coffee-beans-hearts-hot-coffee-amazon-kindle-fire-hd-7-2012-version-only-september-14-2012-flip-case-stand-magnetic-cover-open-ports-customized-made-to-order-support-ready-premium-del/","2018-03-21 18:40:56.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647681.81/warc/CC-MAIN-20180321180325-20180321200325-00348.warc.gz","208486900","9890"
"http://novie-ananda-riizky-greatsale.bl.ee/thankscase-owls-cover-for-amazon-all-new-kindle-fire-hd-7-2nd-gen-2013-release-not-fit-kindle-fire-hd-7-2012-release-with-standing-with-smart-cover-with-elastic-hand-straphot-pink/","2018-03-21 23:57:34.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647707.33/warc/CC-MAIN-20180321234947-20180322014947-00473.warc.gz","207718850","9138"
"https://www.trevecca.edu/give/amazonsmile","2018-03-17 16:23:21.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257645248.22/warc/CC-MAIN-20180317155348-20180317175348-00443.warc.gz","900017723","11230"
"http://glinden.blogspot.com.ee/2017/06/two-decades-of-amazoncom-recommendations.html","2018-03-22 15:39:47.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647892.89/warc/CC-MAIN-20180322151300-20180322171300-00632.warc.gz","118555064","12159"
"http://mikenormaneconomics.blogspot.com.ee/2018/01/jimmy-dore-amazon-employees-need-food.html","2018-03-21 12:38:47.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647649.70/warc/CC-MAIN-20180321121805-20180321141805-00437.warc.gz","198360916","20358"
"http://mikenormaneconomics.blogspot.com.ee/2018/03/jimmy-dore-how-amazon-is-screwing.html","2018-03-21 22:18:45.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647706.69/warc/CC-MAIN-20180321215410-20180321235410-00754.warc.gz","194472315","22120"
"http://its.truman.edu/docs/connecting-to-the-secure-wireless-network-with-an-amazon-kindle-fire-tablet/","2018-03-24 19:40:22.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257650993.91/warc/CC-MAIN-20180324190917-20180324210917-00442.warc.gz","157182594","7961"
"http://arileht.delfi.ee/news/turundus/amazon-soovib-euroopas-googlei-ja-facebookiga-voitlema-hakata?id=80769703","2018-03-20 17:29:39.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647519.62/warc/CC-MAIN-20180320170119-20180320190119-00391.warc.gz","19168387","20032"
"http://arileht.delfi.ee/news/uudised/amazoncom-puuab-luua-arvelduskonto-laadset-toodet?id=81351749","2018-03-19 16:26:23.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257647003.0/warc/CC-MAIN-20180319155754-20180319175754-00484.warc.gz","22901708","17664"
"http://arileht.delfi.ee/news/uudised/kui-amazon-tahaks-voiks-internetikaupmehest-saada-usa-suuruselt-kolmas-pank?id=81366177","2018-03-18 02:05:45.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257645413.2/warc/CC-MAIN-20180318013134-20180318033134-00434.warc.gz","21927259","18287"
"http://arileht.delfi.ee/news/uudised/saksamaa-it-konsultant-hoiatab-eesti-ettevotteid-amazoni-ja-ebay-eest?id=81024445&com=1&reg=1&no=0&s=1","2018-03-23 06:51:33.000","text/html","crawl-data/CC-MAIN-2018-13/segments/1521257648198.55/warc/CC-MAIN-20180323063710-20180323083710-00588.warc.gz","26301597","16077"
